density=0, median=1.5733996406197548e-05
density=10, median=0.00011258863378316164
density=100, median=0.002418581978417933
density=1000, median=1.526216510683298e-05
density=105, median=0.0027270499849691987
density=110, median=0.0035595534136518836
density=115, median=0.003820013371296227
density=120, median=0.004146771505475044
density=125, median=0.0045402145478874445
density=130, median=0.004906944464892149
density=135, median=0.004998454125598073
density=140, median=0.0051570984069257975
density=145, median=0.005521355429664254
density=15, median=0.0001484269741922617
density=150, median=0.005708187585696578
density=155, median=0.0061322684632614255
density=160, median=0.006414015660993755
density=165, median=0.007114920997992158
density=170, median=0.007441337453201413
density=175, median=0.008015393512323499
density=180, median=0.008370465016923845
density=185, median=0.00850531505420804
density=190, median=0.00906603247858584
density=195, median=0.009719555382616818
density=20, median=0.0002108271000906825
density=200, median=0.009912291541695595
density=205, median=0.010405011009424925
density=210, median=0.010680267005227506
density=215, median=0.011315418523736298
density=220, median=0.011006925953552127
density=225, median=0.011455379542894661
density=230, median=0.011814593453891575
density=235, median=0.011893577524460852
density=240, median=0.012507822597399354
density=245, median=0.012811913504265249
density=25, median=0.00025424896739423275
density=250, median=0.013307483401149511
density=255, median=0.014480407116934657
density=260, median=0.014934051549062133
density=265, median=0.015055305906571448
density=270, median=0.015665733022615314
density=275, median=0.015756581095047295
density=280, median=0.016979840584099293
density=285, median=0.016860829899087548
density=290, median=0.017168090562336147
density=295, median=0.017530208453536034
density=30, median=0.0003060699673369527
density=300, median=0.01797489554155618
density=305, median=0.018271810957230628
density=310, median=0.01824757596477866
density=315, median=0.01864493894390762
density=320, median=0.01919406745582819
density=325, median=0.019104692386463284
density=330, median=0.019514509360305965
density=335, median=0.019311031559482217
density=340, median=0.020578479045070708
density=345, median=0.019040311919525266
density=35, median=0.0003611120628193021
density=350, median=0.018405572045594454
density=355, median=0.0185697078704834
density=360, median=0.02031993051059544
density=365, median=0.021438939031213522
density=370, median=0.02208780194632709
density=375, median=0.022090937476605177
density=380, median=0.020455469493754208
density=385, median=0.022705275448970497
density=390, median=0.022610465064644814
density=395, median=0.024265751941129565
density=40, median=0.0004297896521165967
density=400, median=0.02214560506399721
density=405, median=0.02252385299652815
density=410, median=0.023417729884386063
density=415, median=0.023379644029773772
density=420, median=0.023183253593742847
density=425, median=0.021632643067277968
density=430, median=0.02024563297163695
density=435, median=0.020385215524584055
density=440, median=0.019905454595573246
density=445, median=0.02490242593921721
density=45, median=0.0005128226475790143
density=450, median=0.024349751533009112
density=455, median=0.024894071044400334
density=460, median=0.02527725009713322
density=465, median=0.024683777941390872
density=470, median=0.024103890522383153
density=475, median=0.02510877198074013
density=480, median=0.024074537912383676
density=485, median=0.025108477449975908
density=490, median=0.024475623853504658
density=495, median=0.02470935706514865
density=5, median=6.206403486430645e-05
density=50, median=0.0005951520288363099
density=500, median=0.024814827949739993
density=505, median=0.0259366660611704
density=510, median=0.024676552624441683
density=515, median=0.023639641935005784
density=520, median=0.025792691158130765
density=525, median=0.024491466116160154
density=530, median=0.02575855958275497
density=535, median=0.024288743501529098
