density=0, median=1.2815580703318119e-05
density=10, median=4.619196988642216e-05
density=100, median=0.0006307669682428241
density=1000, median=1.1826981790363789e-05
density=105, median=0.0006789960898458958
density=110, median=0.0007307298947125673
density=115, median=0.0007445875089615583
density=120, median=0.0007690219208598137
density=125, median=0.0008530874038115144
density=130, median=0.0008921519620344043
density=135, median=0.0009150828700512648
density=140, median=0.0009564220672473311
density=145, median=0.0010368230286985636
density=15, median=5.496595986187458e-05
density=150, median=0.0011685985373333097
density=155, median=0.0012129009701311588
density=160, median=0.0012730509042739868
density=165, median=0.0013315799878910184
density=170, median=0.001352190040051937
density=175, median=0.001422696397639811
density=180, median=0.0014377376064658165
density=185, median=0.001597188995219767
density=190, median=0.0015977309085428715
density=195, median=0.0016857265727594495
density=20, median=6.661447696387768e-05
density=200, median=0.00178813049569726
density=205, median=0.0018559836316853762
density=210, median=0.0019152751192450523
density=215, median=0.001973597565665841
density=220, median=0.002059106482192874
density=225, median=0.00212479243054986
density=230, median=0.0022082364885136485
density=235, median=0.0022497684694826603
density=240, median=0.0023597555700689554
density=245, median=0.0023829650599509478
density=25, median=8.515594527125359e-05
density=250, median=0.0024627101374790072
density=255, median=0.0025318554835394025
density=260, median=0.002518607536330819
density=265, median=0.002602141466923058
density=270, median=0.002743028453551233
density=275, median=0.0027470524655655026
density=280, median=0.0027752025052905083
density=285, median=0.002808048506267369
density=290, median=0.002975411945953965
density=295, median=0.0028410444501787424
density=30, median=9.44935018196702e-05
density=300, median=0.002617989666759968
density=305, median=0.002588961971923709
density=310, median=0.0028243219712749124
density=315, median=0.0031673499615862966
density=320, median=0.0032105189748108387
density=325, median=0.0031522864010185003
density=330, median=0.0029445471009239554
density=335, median=0.003282502992078662
density=340, median=0.0030643095960840583
density=345, median=0.003466890542767942
density=35, median=0.00011587794870138168
density=350, median=0.0032343214843422174
density=355, median=0.003317144000902772
density=360, median=0.0034539740299806
density=365, median=0.0034533904399722815
density=370, median=0.0035902580711990595
density=375, median=0.003208196023479104
density=380, median=0.003087291494011879
density=385, median=0.0029911589808762074
density=390, median=0.003075975924730301
density=395, median=0.0036705448292195797
density=40, median=0.00013996148481965065
density=400, median=0.0037592354929074645
density=405, median=0.003881813958287239
