density=0, median=1.7732498236000538e-05
density=10, median=0.00028655200731009245
density=100, median=0.0049783214926719666
density=1000, median=1.6174395568668842e-05
density=105, median=0.00538479199167341
density=110, median=0.005844473605975509
density=115, median=0.0061780164251104
density=120, median=0.006601204513572156
density=125, median=0.007599625503644347
density=130, median=0.008187529980205
density=135, median=0.008498908020555973
density=140, median=0.008678098558448255
density=145, median=0.008563300361856818
density=15, median=0.0004296539118513465
density=150, median=0.009288616478443146
density=155, median=0.009169550496153533
density=160, median=0.009737447486259043
density=165, median=0.01018844312056899
density=170, median=0.010757577954791486
density=175, median=0.010933120502159
density=180, median=0.011540351551957428
density=185, median=0.012510847998782992
density=190, median=0.012764944462105632
density=195, median=0.013129754108376801
density=20, median=0.0005637943977490067
density=200, median=0.013889894471503794
density=205, median=0.014358105952851474
density=210, median=0.0143792504677549
density=215, median=0.014640917419455945
density=220, median=0.015379606047645211
density=225, median=0.015111620537936687
density=230, median=0.015913899056613445
density=235, median=0.01622765406500548
density=240, median=0.01690723339561373
density=245, median=0.017472493927925825
density=25, median=0.0007981364615261555
density=250, median=0.018241011071950197
density=255, median=0.01888489897828549
density=260, median=0.01853919797576964
density=265, median=0.018925699987448752
density=270, median=0.019531238009221852
density=275, median=0.019006899441592395
density=280, median=0.019875488593243062
density=285, median=0.02011888357810676
density=290, median=0.021255220053717494
density=295, median=0.020105076488107443
density=30, median=0.0009564775973558426
density=300, median=0.01899093366228044
density=305, median=0.019138786010444164
density=310, median=0.021778105990961194
density=315, median=0.021774948458187282
density=320, median=0.022769858478568494
density=325, median=0.02394472947344184
density=330, median=0.022151055047288537
density=335, median=0.024604166974313557
density=340, median=0.02410100249107927
density=345, median=0.026905295089818537
density=35, median=0.0010991834569722414
density=350, median=0.025454029557295144
density=355, median=0.026173883001320064
density=360, median=0.02656059747096151
density=365, median=0.0264233669731766
density=370, median=0.026622095494531095
density=375, median=0.024981344467960298
density=380, median=0.02320416539441794
density=385, median=0.023051500553265214
density=390, median=0.023105107946321368
density=395, median=0.02645060163922608
density=40, median=0.001307059545069933
density=400, median=0.02972025645431131
density=405, median=0.029672718490473926
density=410, median=0.027477571973577142
density=415, median=0.02806405397132039
density=420, median=0.029631490004248917
density=425, median=0.029385559493675828
density=430, median=0.0300065150950104
density=435, median=0.03017338295467198
density=440, median=0.03061397443525493
density=445, median=0.030338199576362967
density=45, median=0.0014928840100765228
density=450, median=0.026913570472970605
density=455, median=0.02991739136632532
density=460, median=0.027616854524239898
density=465, median=0.027500133961439133
density=470, median=0.027793687535449862
density=475, median=0.027082999935373664
density=480, median=0.02766975958365947
density=485, median=0.027633847435936332
density=490, median=0.02759151195641607
density=495, median=0.02883878641296178
density=5, median=0.0001796430442482233
density=50, median=0.0016697952523827553
density=500, median=0.028116456465795636
density=505, median=0.028740861918777227
density=510, median=0.02768630243372172
density=515, median=0.028191917575895786
density=520, median=0.029788590967655182
density=525, median=0.029656669008545578
density=530, median=0.029358259518630803
density=535, median=0.030410745996050537
density=540, median=0.029332237085327506
density=545, median=0.02892218204215169
density=55, median=0.0019307039910927415
density=550, median=0.03111209801863879
density=555, median=0.029910193057730794
density=560, median=0.030382586526684463
density=565, median=0.029968051007017493
density=570, median=0.03025487356353551
density=575, median=0.03014594060368836
density=580, median=0.02767159603536129
density=585, median=0.030552967102266848
density=590, median=0.02802081499248743
density=595, median=0.028247249545529485
density=60, median=0.0019278869731351733
density=600, median=0.02688571810722351
density=605, median=0.029199957847595215
density=610, median=0.02759277797304094
density=615, median=0.02829345257487148
density=620, median=0.027320608962327242
density=625, median=0.0280580825638026
density=630, median=0.027506957994773984
density=635, median=0.028159915935248137
density=640, median=0.026938973576761782
density=645, median=0.026795312529429793
density=65, median=0.0021735900081694126
density=650, median=0.026031080982647836
density=655, median=0.02625331247691065
density=660, median=0.021543337497860193
density=665, median=0.02229422447271645
density=670, median=0.021666586631909013
density=675, median=0.023171338951215148
density=680, median=0.023955536657013
density=685, median=0.02355782047379762
density=690, median=0.023515102453529835
density=695, median=0.02317795599810779
density=70, median=0.002524989075027406
density=700, median=0.022449679556302726
density=705, median=0.02189752401318401
density=710, median=0.02128231746610254
density=715, median=0.01944388437550515
density=720, median=0.019954912597313523
density=725, median=0.01784133806359023
density=730, median=0.016859413939528167
density=735, median=0.01876701507717371
density=740, median=0.019997754483483732
density=745, median=0.019161615986377
density=75, median=0.0028727949829772115
density=750, median=0.017354161012917757
density=755, median=0.01684142858721316
density=760, median=0.016971489414572716
density=765, median=0.01772945246193558
density=770, median=0.016094947000965476
density=775, median=0.01534971606452018
density=780, median=0.015255350503139198
density=785, median=0.015551091055385768
density=790, median=0.015400836011394858
density=795, median=0.014201588463038206
density=80, median=0.0031409614020958543
density=800, median=0.013452812097966671
density=805, median=0.01367351843509823
density=810, median=0.012119558872655034
density=815, median=0.012566657038405538
density=820, median=0.010793336085043848
density=825, median=0.010293755098246038
density=830, median=0.010838810005225241
density=835, median=0.010461106896400452
density=840, median=0.0090967450523749
density=845, median=0.009822750464081764
density=85, median=0.0035776201402768493
density=850, median=0.009216793579980731
density=855, median=0.008259613066911697
density=860, median=0.008100735023617744
density=865, median=0.009000853053294122
density=870, median=0.007550297537818551
density=875, median=0.00809997005853802
density=880, median=0.006471002358011901
density=885, median=0.00627506710588932
density=890, median=0.005815902957692742
density=895, median=0.005405764444731176
density=90, median=0.004112902446649969
density=900, median=0.005024969112128019
density=905, median=0.004550146986730397
density=910, median=0.00437303667422384
density=915, median=0.003977908520027995
density=920, median=0.003494308446533978
density=925, median=0.0030157050350680947
density=930, median=0.0025916009908542037
density=935, median=0.0023773193825036287
density=940, median=0.002126985462382436
density=945, median=0.0018205619417130947
density=95, median=0.004591403994709253
density=950, median=0.0015960289165377617
density=955, median=0.0014356070896610618
density=960, median=0.0012306345161050558
density=965, median=0.001035339548252523
density=970, median=0.0008925445144996047
density=975, median=0.0007567405700683594
density=980, median=0.0005993719678372145
density=985, median=0.00040219398215413094
density=990, median=0.0002869615564122796
density=995, median=0.00015617662575095892
